Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 301 111 333 225 0
2 2 2 213 122 235 218 0
2 3 2 92 120 120 226 0
2 4 2 617 114 637 230 0
2 5 2 407 100 458 237 0
3 1 2 298 111 330 224 0
3 2 2 208 121 231 217 0
3 3 2 92 120 121 226 0
3 4 2 616 114 636 229 0
3 5 2 419 98 468 234 0
4 1 2 292 112 325 225 0
4 2 2 205 121 228 216 0
4 3 2 92 120 121 226 0
4 4 2 615 114 635 229 0
4 5 2 421 98 469 232 0
5 1 2 289 112 323 226 0
5 2 2 202 122 224 215 0
5 3 2 92 120 120 226 0
5 4 2 614 114 635 229 0
5 5 2 421 98 470 232 0
5 8 2 392 111 430 240 0
6 1 2 287 112 323 226 0
6 2 2 197 124 220 215 0
6 3 2 92 120 121 226 0
6 4 2 612 114 634 229 0
6 5 2 421 96 470 230 0
6 8 2 389 111 426 238 0
6 10 2 538 108 584 228 0
7 1 2 287 113 323 226 0
7 2 2 193 126 217 215 0
7 3 2 92 121 121 226 0
7 4 2 609 110 633 231 0
7 5 2 421 94 470 231 0
7 8 2 386 112 424 239 0
7 10 2 538 108 584 230 0
8 1 2 285 114 322 225 0
8 2 2 190 126 216 217 0
8 3 2 92 121 121 226 0
8 4 2 607 111 632 231 0
8 5 2 421 93 470 232 0
8 8 2 384 114 422 238 0
8 10 2 537 108 583 228 0
9 1 2 281 114 318 224 0
9 2 2 188 127 216 217 0
9 3 2 91 122 120 225 0
9 4 2 606 110 631 231 0
9 5 2 421 96 470 233 0
9 8 2 382 114 421 237 0
9 10 2 537 108 581 226 0
10 1 2 274 112 312 226 0
10 2 2 186 126 216 217 0
10 3 2 91 122 120 225 0
10 5 2 421 96 470 234 0
10 8 2 377 112 417 237 0
10 10 2 537 111 580 226 0
11 1 2 268 111 306 227 0
11 2 2 184 128 215 217 0
11 3 2 91 122 120 224 0
11 4 2 598 115 623 228 0
11 5 2 420 97 470 234 0
11 8 2 371 110 412 239 0
11 10 2 538 112 580 226 0
12 1 2 265 111 303 229 0
12 2 2 182 128 214 215 0
12 3 2 91 122 120 224 0
12 4 2 596 116 622 227 0
12 5 2 420 97 470 234 0
12 8 2 368 111 408 237 0
12 10 2 537 112 579 226 0
13 1 2 262 110 300 228 0
13 2 2 177 128 208 215 0
13 3 2 90 122 119 224 0
13 4 2 594 116 621 228 0
13 5 2 420 97 470 234 0
13 8 2 366 111 404 236 0
13 10 2 535 112 575 225 0
13 13 2 117 121 140 217 0
14 1 2 259 111 296 228 0
14 2 2 173 127 204 215 0
14 3 2 90 123 119 223 0
14 4 2 592 116 620 228 0
14 5 2 420 97 470 234 0
14 8 2 363 110 402 235 0
14 10 2 533 112 572 225 0
14 13 2 117 122 140 217 0
15 1 2 255 111 292 226 0
15 2 2 172 127 201 215 0
15 3 2 90 123 119 223 0
15 4 2 589 115 618 226 0
15 5 2 420 97 470 234 0
15 8 2 361 109 399 236 0
15 10 2 534 112 573 226 0
15 13 2 116 122 139 217 0
16 1 2 249 111 287 226 0
16 2 2 170 126 199 215 0
16 3 2 90 123 118 224 0
16 4 2 586 114 616 226 0
16 5 2 417 97 467 234 0
16 8 2 356 108 395 238 0
16 10 2 536 113 574 226 0
16 13 2 116 121 139 217 0
16 14 2 482 117 510 227 0
17 1 2 244 111 283 227 0
17 2 2 169 126 197 214 0
17 3 2 90 123 118 224 0
17 4 2 585 114 615 226 0
17 5 2 416 96 465 234 0
17 8 2 351 110 390 236 0
17 10 2 537 115 574 226 0
17 13 2 115 120 139 219 0
17 14 2 482 116 510 228 0
18 1 2 241 112 282 227 0
18 2 2 167 126 195 214 0
18 3 2 90 123 118 224 0
18 4 2 585 114 615 226 0
18 5 2 415 96 464 234 0
18 8 2 343 111 384 236 0
18 10 2 535 113 573 226 0
