Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 568 98 633 270 0
2 2 2 185 106 224 235 0
2 3 2 393 92 446 250 0
2 4 2 27 116 60 226 0
2 5 2 16 84 617 273 0
2 6 2 365 105 402 230 0
3 1 2 567 97 633 270 0
3 2 2 188 107 227 234 0
3 3 2 389 92 441 249 0
3 4 2 27 115 60 225 0
3 5 2 19 84 614 271 0
3 6 2 362 105 400 230 0
3 7 2 0 108 20 227 0
3 8 2 296 130 313 216 0
4 1 2 567 96 633 270 0
4 2 2 187 108 226 235 0
4 3 2 386 92 439 249 0
4 4 2 26 110 61 226 0
4 5 2 16 83 618 273 0
4 6 2 359 106 396 229 0
4 7 2 0 108 20 226 0
4 8 2 297 130 315 214 0
5 1 2 568 96 633 270 0
5 2 2 186 107 225 235 0
5 3 2 385 92 438 251 0
5 4 2 25 107 61 227 0
5 5 2 19 84 613 271 0
5 6 2 359 107 395 228 0
5 7 2 2 109 22 226 0
5 8 2 299 131 316 213 0
5 9 2 456 114 490 226 0
6 1 2 569 97 634 269 0
6 2 2 185 107 224 234 0
6 3 2 385 92 438 251 0
6 4 2 25 107 61 227 0
6 5 2 21 84 614 271 0
6 6 2 358 108 394 228 0
6 7 2 5 109 25 227 0
6 8 2 302 131 320 213 0
6 9 2 457 113 492 227 0
7 1 2 570 99 634 268 0
7 2 2 183 105 223 234 0
7 3 2 385 98 433 246 0
7 4 2 25 108 61 227 0
7 5 2 21 84 615 271 0
7 6 2 362 105 399 227 0
7 7 2 5 110 26 227 0
7 8 2 304 132 323 215 0
7 9 2 457 112 493 228 0
8 1 2 571 101 634 268 0
8 2 2 183 106 223 234 0
8 3 2 384 102 431 243 0
8 4 2 26 110 61 227 0
8 5 2 20 83 620 272 0
8 6 2 362 105 399 227 0
8 7 2 5 108 28 227 0
8 8 2 306 131 326 215 0
8 9 2 461 114 495 224 0
9 1 2 572 103 634 267 0
9 2 2 184 106 224 235 0
9 3 2 384 104 429 239 0
9 4 2 25 109 61 227 0
9 5 2 21 83 618 270 0
9 6 2 342 107 378 228 0
9 7 2 6 108 29 227 0
9 8 2 305 129 327 213 0
9 9 2 463 112 498 227 0
10 1 2 573 104 634 267 0
10 2 2 183 106 223 235 0
10 3 2 386 104 429 235 0
10 5 2 24 82 617 268 0
10 6 2 338 109 373 228 0
10 7 2 16 108 41 227 0
10 8 2 307 128 328 213 0
10 9 2 465 112 499 228 0
11 1 2 574 105 634 267 0
11 2 2 182 107 223 235 0
11 3 2 386 103 428 230 0
11 5 2 29 83 615 266 0
11 6 2 336 109 371 227 0
11 7 2 18 107 46 228 0
11 9 2 466 113 500 227 0
12 1 2 573 103 635 266 0
12 2 2 181 108 221 235 0
12 3 2 383 100 426 230 0
12 5 2 25 83 617 268 0
12 6 2 333 107 367 227 0
12 7 2 20 109 49 228 0
12 9 2 468 113 502 227 0
12 12 2 73 119 102 223 0
13 1 2 576 105 635 264 0
13 2 2 182 109 222 235 0
13 3 2 381 97 427 235 0
13 5 2 20 83 620 270 0
13 6 2 330 108 365 229 0
13 7 2 22 110 52 227 0
13 9 2 470 112 504 227 0
13 12 2 73 119 102 223 0
13 14 2 359 104 390 219 0
14 1 2 576 105 635 262 0
14 2 2 182 109 222 235 0
14 3 2 380 95 426 238 0
14 5 2 18 83 619 269 0
14 6 2 329 108 363 228 0
14 7 2 25 110 56 228 0
14 9 2 471 113 503 223 0
14 12 2 73 119 102 223 0
14 14 2 357 104 389 219 0
15 1 2 578 104 637 263 0
15 2 2 183 109 223 235 0
15 3 2 378 96 424 239 0
15 5 2 14 82 622 271 0
