Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 -17 166 130 417 0
2 2 2 766 106 840 314 0
2 3 2 725 68 817 227 0
3 1 2 -26 165 121 420 0
3 2 2 761 108 835 311 0
3 3 2 735 63 819 208 0
4 1 2 -28 163 119 421 0
4 2 2 758 110 832 308 0
4 3 2 741 61 818 198 0
5 1 2 -28 161 117 422 0
5 2 2 754 110 831 311 0
5 3 2 762 65 821 170 0
6 1 2 -25 166 113 421 0
6 2 2 747 110 825 310 0
6 3 2 771 65 824 158 0
7 1 2 -23 170 110 420 0
7 2 2 739 101 820 308 0
8 1 2 -20 174 106 418 0
8 2 2 735 96 817 307 0
9 1 2 -19 172 106 419 0
9 2 2 729 94 812 306 0
9 5 2 804 68 861 218 0
10 1 2 -13 191 99 415 0
10 2 2 722 93 805 308 0
10 5 2 812 60 866 203 0
11 1 2 -13 188 98 416 0
11 2 2 712 94 793 302 0
11 5 2 815 58 869 202 0
12 1 2 -16 181 94 414 0
12 2 2 696 93 780 304 0
13 1 2 -18 176 90 412 0
13 2 2 685 93 771 304 0
14 1 2 -20 176 88 412 0
14 2 2 671 92 762 306 0
15 2 2 662 95 754 305 0
16 2 2 658 98 752 302 0
17 2 2 655 98 750 302 0
18 2 2 647 96 745 302 0
18 6 2 -4 210 29 389 0
19 2 2 640 92 740 303 0
19 6 2 -3 222 28 393 0
20 2 2 633 92 732 305 0
20 6 2 -2 225 28 395 0
21 2 2 631 91 727 303 0
21 6 2 -1 232 27 394 0
21 7 2 812 187 856 445 0
22 2 2 624 90 720 308 0
22 6 2 0 248 26 393 0
22 7 2 808 153 858 447 0
23 2 2 616 88 711 310 0
23 6 2 0 256 25 394 0
23 7 2 803 141 856 448 0
24 2 2 601 91 695 308 0
24 7 2 794 140 850 455 0
25 2 2 587 94 681 308 0
25 7 2 788 140 845 457 0
26 2 2 575 95 672 308 0
26 7 2 781 141 842 461 0
27 2 2 566 94 667 309 0
27 7 2 773 144 836 461 0
28 2 2 560 93 664 310 0
28 7 2 763 141 831 461 0
29 2 2 555 93 661 310 0
29 7 2 756 139 830 463 0
30 2 2 550 92 657 312 0
30 7 2 753 140 831 463 0
31 2 2 544 94 649 310 0
31 7 2 745 142 827 463 0
32 2 2 536 92 640 311 0
32 7 2 741 143 827 463 0
33 2 2 530 90 632 313 0
33 7 2 738 142 829 463 0
34 2 2 521 88 622 315 0
34 7 2 736 143 830 462 0
35 2 2 507 90 605 313 0
35 7 2 735 145 832 463 0
36 2 2 496 95 592 309 0
36 7 2 733 147 832 463 0
37 2 2 483 97 581 307 0
37 7 2 728 145 830 462 0
38 2 2 469 100 572 315 0
38 7 2 720 146 823 460 0
39 2 2 460 100 567 318 0
39 7 2 706 148 814 460 0
40 2 2 455 101 565 319 0
40 7 2 692 151 805 463 0
41 2 2 450 102 562 320 0
41 7 2 677 150 796 464 0
42 2 2 443 101 555 320 0
42 7 2 660 148 786 467 0
43 2 2 436 102 545 318 0
43 7 2 649 152 779 467 0
43 8 2 809 162 853 473 0
44 2 2 424 96 533 315 0
44 7 2 638 150 774 470 0
44 8 2 806 137 853 468 0
45 2 2 414 94 521 312 0
45 7 2 629 150 769 473 0
45 8 2 803 122 852 470 0
46 2 2 401 90 508 315 0
46 7 2 622 148 765 474 0
46 8 2 791 114 843 468 0
47 2 2 391 91 495 313 0
47 7 2 618 147 763 475 0
47 8 2 781 111 837 474 0
48 2 2 376 94 483 319 0
48 7 2 615 146 760 475 0
48 8 2 773 114 833 479 0
49 2 2 363 96 472 320 0
49 7 2 611 147 755 474 0
49 8 2 769 119 831 479 0
50 2 2 355 99 465 320 0
50 7 2 609 150 749 470 0
50 8 2 768 124 833 483 0
51 2 2 349 101 461 321 0
51 7 2 606 152 743 470 0
51 8 2 765 132 832 481 0
52 2 2 345 104 457 318 0
52 7 2 601 152 738 473 0
52 8 2 762 137 832 481 0
53 2 2 342 108 452 316 0
53 7 2 594 152 731 475 0
53 8 2 759 159 830 480 0
54 2 2 334 107 443 315 0
54 7 2 583 154 719 477 0
54 8 2 747 149 825 481 0
55 2 2 321 102 433 319 0
55 7 2 570 156 708 478 0
55 8 2 737 154 821 479 0
56 2 2 309 96 418 312 0
56 7 2 558 154 698 479 0
56 8 2 726 169 814 480 0
57 2 2 297 90 407 315 0
57 7 2 547 157 689 479 0
57 8 2 706 177 804 480 0
58 2 2 287 88 396 317 0
58 7 2 539 159 679 476 0
58 8 2 687 198 791 479 0
59 2 2 280 88 386 314 0
59 7 2 534 160 673 473 0
59 8 2 662 204 777 483 0
60 2 2 269 92 374 312 0
60 7 2 526 159 668 477 0
60 8 2 643 212 765 481 0
61 2 2 260 99 364 315 0
61 7 2 518 160 658 476 0
61 8 2 622 221 751 479 0
62 2 2 252 102 358 317 0
62 7 2 514 161 651 473 0
62 8 2 608 228 743 478 0
63 2 2 248 104 356 317 0
63 7 2 511 162 643 465 0
63 8 2 594 232 737 478 0
64 2 2 244 105 353 319 0
64 7 2 505 157 637 468 0
64 8 2 573 230 727 481 0
65 2 2 236 104 345 318 0
65 7 2 495 157 626 470 0
65 8 2 563 231 720 479 0
66 2 2 224 95 336 314 0
66 7 2 484 157 613 471 0
66 8 2 547 225 713 481 0
67 2 2 213 95 323 310 0
67 7 2 475 160 599 468 0
67 8 2 534 217 708 483 0
68 2 2 199 97 304 307 0
68 7 2 462 155 585 472 0
68 8 2 527 214 705 483 0
69 2 2 186 92 293 311 0
69 7 2 451 155 572 474 0
69 8 2 519 214 696 479 0
70 2 2 177 92 283 311 0
70 7 2 439 156 558 474 0
70 8 2 489 210 673 481 0
70 11 2 555 118 699 393 0
71 2 2 169 99 273 314 0
71 7 2 427 160 543 469 0
71 8 2 461 209 653 481 0
71 11 2 541 117 688 399 0
72 2 2 161 104 264 316 0
72 7 2 421 164 536 467 0
72 8 2 446 212 639 480 0
72 11 2 531 118 680 403 0
73 2 2 156 109 258 314 0
73 7 2 412 164 526 467 0
73 8 2 425 218 615 477 0
73 11 2 513 123 658 399 0
74 2 2 151 113 254 313 0
74 8 2 409 218 602 477 0
74 11 2 501 125 645 399 0
75 2 2 145 112 251 314 0
75 8 2 398 219 590 477 0
75 11 2 483 129 638 424 0
75 12 2 420 159 533 284 0
76 2 2 134 109 244 316 0
76 8 2 384 221 578 477 0
76 11 2 476 140 629 431 0
76 12 2 399 158 542 319 0
77 2 2 126 107 237 315 0
77 8 2 358 222 549 475 0
77 11 2 462 139 616 435 0
77 12 2 377 154 541 344 0
78 2 2 116 107 226 313 0
78 8 2 338 219 531 474 0
78 11 2 438 141 597 451 0
78 12 2 365 157 533 356 0
79 2 2 102 105 212 314 0
79 8 2 319 214 516 475 0
79 11 2 425 143 585 458 0
79 12 2 352 155 525 367 0
80 2 2 89 97 199 310 0
80 8 2 292 212 490 477 0
80 11 2 416 147 575 460 0
80 12 2 342 155 510 367 0
81 2 2 82 97 189 306 0
81 8 2 276 210 475 478 0
81 11 2 405 154 557 453 0
81 12 2 332 154 496 369 0
82 2 2 73 96 179 307 0
82 8 2 263 208 463 477 0
82 11 2 398 156 547 445 0
82 12 2 324 154 483 370 0
83 2 2 69 102 174 310 0
83 8 2 245 200 447 473 0
83 11 2 369 149 526 457 0
83 12 2 316 154 465 364 0
84 2 2 65 106 169 312 0
84 8 2 233 195 438 472 0
84 11 2 353 145 512 458 0
84 12 2 311 157 446 354 0
85 2 2 62 109 164 311 0
85 8 2 212 200 417 478 0
85 11 2 341 145 502 460 0
85 12 2 298 156 444 368 0
86 2 2 57 112 161 313 0
86 8 2 194 203 396 478 0
86 11 2 333 151 489 450 0
87 2 2 51 113 155 312 0
87 8 2 179 208 376 478 0
87 11 2 318 146 488 468 0
88 2 2 42 114 147 310 0
88 8 2 156 213 346 477 0
88 11 2 298 144 470 467 0
89 2 2 30 114 135 308 0
89 8 2 144 218 331 477 0
89 11 2 283 140 460 469 0
90 2 2 18 103 126 306 0
90 8 2 130 224 314 477 0
90 11 2 267 140 446 472 0
91 2 2 1 93 113 308 0
91 8 2 120 231 300 476 0
91 11 2 259 143 436 468 0
92 2 2 -10 89 102 309 0
92 8 2 90 231 272 479 0
92 11 2 253 147 429 463 0
93 2 2 -15 98 91 313 0
93 8 2 77 235 258 478 0
93 11 2 247 150 424 461 0
94 2 2 -15 106 83 311 0
94 8 2 60 234 245 478 0
94 11 2 220 147 401 466 0
95 2 2 -17 115 72 307 0
95 8 2 33 235 216 475 0
95 11 2 207 149 386 466 0
96 2 2 -25 116 64 307 0
96 8 2 20 234 208 475 0
96 11 2 198 153 374 464 0
97 8 2 5 232 197 478 0
97 11 2 184 150 367 472 0
98 8 2 -11 233 180 478 0
98 11 2 163 145 346 471 0
99 8 2 2 244 186 475 0
99 11 2 149 143 333 474 0
100 8 2 -10 246 171 475 0
100 11 2 137 142 318 471 0
101 11 2 129 146 308 467 0
102 11 2 130 154 305 462 0
103 11 2 123 163 297 458 0
104 11 2 111 158 297 470 0
105 11 2 90 156 280 471 0
106 11 2 77 157 266 468 0
107 11 2 64 162 253 470 0
108 11 2 48 157 242 472 0
109 11 2 24 153 220 479 0
110 11 2 11 157 203 476 0
110 13 2 62 161 279 471 0
111 11 2 0 158 187 474 0
111 13 2 56 166 267 470 0
112 11 2 -2 161 181 469 0
112 13 2 66 177 246 436 0
113 11 2 -11 154 179 476 0
113 13 2 59 176 241 439 0
114 11 2 -10 165 171 473 0
114 13 2 47 176 246 464 0
115 11 2 -31 158 147 476 0
115 13 2 44 177 244 467 0
116 11 2 -35 155 138 477 0
116 13 2 40 176 244 473 0
117 11 2 -47 155 127 477 0
117 13 2 14 177 212 464 0
118 13 2 3 181 187 448 0
119 13 2 -3 182 181 451 0
120 13 2 -2 216 171 469 0
121 13 2 -9 219 165 477 0
122 13 2 -15 221 156 480 0
123 13 2 -31 193 153 480 0
124 13 2 -33 185 149 480 0
125 13 2 -32 181 144 473 0
126 13 2 -29 182 140 473 0
127 13 2 -19 208 135 477 0
128 13 2 -14 220 131 478 0
129 13 2 -17 198 132 470 0
130 13 2 -10 222 128 475 0
131 13 2 -10 225 126 478 0
132 13 2 -13 235 115 479 0
133 13 2 -19 239 102 478 0
134 13 2 -26 242 86 477 0
135 13 2 -31 246 81 478 0
296 16 2 799 122 852 319 0
297 16 2 797 107 854 322 0
298 16 2 796 104 855 322 0
299 16 2 797 102 856 321 0
300 16 2 796 99 855 320 0
301 16 2 790 96 852 321 0
302 16 2 785 98 847 319 0
303 16 2 780 98 843 319 0
304 16 2 769 98 836 320 0
305 16 2 754 96 824 312 0
306 16 2 742 100 817 316 0
307 16 2 733 101 812 316 0
308 16 2 725 101 809 318 0
309 16 2 719 101 806 318 0
309 17 2 785 181 854 479 0
310 16 2 713 97 802 311 0
310 17 2 780 178 849 474 0
311 16 2 705 94 795 308 0
311 17 2 771 178 842 474 0
312 16 2 701 92 792 308 0
312 17 2 763 178 836 470 0
313 16 2 699 92 789 308 0
313 17 2 747 174 826 474 0
314 16 2 698 91 788 307 0
314 17 2 740 179 821 472 0
315 16 2 696 89 785 309 0
315 17 2 735 182 820 471 0
316 16 2 693 89 780 306 0
316 17 2 730 182 821 473 0
317 16 2 689 90 775 307 0
317 17 2 723 188 817 471 0
317 18 2 814 165 847 478 0
318 16 2 685 89 771 306 0
318 17 2 713 191 812 471 0
318 18 2 810 168 844 476 0
319 17 2 700 188 809 474 0
319 18 2 798 166 833 464 0
320 17 2 684 187 798 475 0
320 18 2 791 168 829 464 0
321 16 2 683 92 742 239 0
321 17 2 656 183 773 475 0
321 18 2 784 168 825 466 0
322 16 2 676 93 736 240 0
322 17 2 633 183 751 474 0
322 18 2 773 164 821 477 0
323 16 2 671 94 732 240 0
323 17 2 613 183 734 474 0
323 18 2 755 165 810 476 0
323 20 2 818 126 847 265 0
324 16 2 666 94 727 240 0
324 17 2 602 179 726 473 0
324 18 2 740 165 803 475 0
324 20 2 814 126 846 277 0
325 16 2 653 95 718 252 0
325 17 2 584 177 711 473 0
325 18 2 729 166 800 475 0
325 20 2 811 130 846 290 0
326 16 2 649 100 713 251 0
326 17 2 569 176 698 473 0
326 18 2 716 166 794 477 0
326 20 2 802 133 839 292 0
327 16 2 638 97 707 260 0
327 17 2 556 176 687 473 0
327 18 2 701 168 786 476 0
327 20 2 799 134 834 278 0
328 16 2 631 95 703 263 0
328 17 2 541 175 675 474 0
328 18 2 691 168 782 476 0
328 20 2 788 132 828 290 0
329 16 2 635 110 697 253 0
329 17 2 521 173 657 474 0
329 18 2 688 169 783 474 0
329 20 2 780 131 823 293 0
330 16 2 613 97 695 287 0
330 17 2 506 172 645 473 0
330 18 2 684 171 783 477 0
330 20 2 764 129 810 297 0
331 16 2 604 93 692 300 0
331 17 2 495 171 634 473 0
331 18 2 677 161 784 485 0
331 20 2 755 127 804 298 0
332 16 2 593 93 683 306 0
332 17 2 484 168 624 472 0
332 18 2 664 165 772 479 0
332 20 2 747 125 799 298 0
333 16 2 586 96 679 318 0
333 17 2 471 166 613 472 0
333 18 2 658 168 765 474 0
333 20 2 742 127 792 284 0
334 16 2 578 99 672 324 0
334 17 2 462 163 604 471 0
334 18 2 650 168 758 473 0
334 20 2 738 126 787 277 0
335 16 2 571 98 665 325 0
335 17 2 449 161 589 468 0
335 18 2 641 166 750 473 0
335 20 2 726 124 778 278 0
336 16 2 565 99 659 324 0
336 17 2 436 156 578 472 0
336 18 2 635 167 744 471 0
336 20 2 717 125 769 275 0
337 16 2 559 100 654 325 0
337 17 2 423 152 567 474 0
337 18 2 628 167 738 469 0
337 20 2 711 129 761 271 0
338 16 2 555 104 648 324 0
338 17 2 413 150 558 476 0
338 18 2 621 171 732 468 0
338 20 2 702 129 753 271 0
339 16 2 550 96 644 316 0
339 17 2 403 152 546 476 0
339 18 2 607 162 725 475 0
339 20 2 691 128 744 272 0
340 16 2 542 93 635 312 0
340 17 2 398 156 539 474 0
340 18 2 590 160 711 474 0
340 20 2 681 126 736 272 0
341 16 2 535 90 627 312 0
341 17 2 385 157 526 474 0
341 18 2 577 164 701 474 0
341 20 2 675 127 729 272 0
342 16 2 526 90 617 311 0
342 17 2 374 156 516 477 0
342 18 2 569 171 693 472 0
342 20 2 659 125 718 276 0
343 16 2 517 89 608 312 0
343 17 2 364 154 506 477 0
343 18 2 564 178 687 471 0
343 20 2 647 125 713 290 0
344 16 2 505 90 599 325 0
344 17 2 352 154 493 478 0
344 18 2 562 182 685 470 0
344 20 2 634 124 706 301 0
345 16 2 496 92 588 328 0
345 17 2 342 154 482 477 0
345 18 2 558 184 682 470 0
345 20 2 624 125 701 311 0
346 16 2 489 92 580 329 0
346 17 2 332 156 471 475 0
346 18 2 548 177 679 479 0
346 20 2 608 124 699 346 0
347 16 2 478 95 569 328 0
347 17 2 315 155 453 477 0
347 18 2 541 174 673 480 0
347 20 2 598 126 693 357 0
348 16 2 470 99 559 324 0
348 17 2 304 152 442 479 0
348 18 2 532 170 665 479 0
348 20 2 592 125 687 359 0
349 16 2 463 102 551 321 0
349 17 2 291 148 429 477 0
349 18 2 519 171 648 472 0
349 20 2 585 123 681 362 0
350 16 2 455 100 547 324 0
350 17 2 281 147 418 477 0
350 18 2 513 170 641 470 0
350 20 2 579 123 676 363 0
351 16 2 447 96 541 327 0
351 17 2 272 148 407 475 0
351 18 2 505 167 634 471 0
351 20 2 570 122 666 362 0
352 16 2 438 95 533 329 0
352 17 2 258 149 392 475 0
352 18 2 494 166 623 472 0
352 20 2 562 122 652 345 0
353 16 2 435 96 530 330 0
353 17 2 246 154 379 478 0
353 18 2 485 170 612 470 0
353 20 2 553 120 627 293 0
354 16 2 430 94 524 328 0
354 17 2 237 160 369 479 0
354 18 2 478 173 604 469 0
354 20 2 546 120 617 277 0
355 16 2 427 94 519 328 0
355 17 2 230 164 359 475 0
355 18 2 473 177 598 467 0
355 20 2 535 116 611 281 0
356 16 2 423 95 512 327 0
356 17 2 223 169 351 475 0
356 18 2 469 181 595 469 0
356 20 2 516 121 602 306 0
357 16 2 422 100 504 321 0
357 17 2 219 173 346 474 0
357 18 2 463 170 596 472 0
357 20 2 503 119 601 333 0
358 16 2 414 93 495 315 0
358 17 2 208 174 334 475 0
