Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 33 93 87 202 0
2 2 2 52 70 99 165 0
3 1 2 33 91 87 202 0
3 2 2 51 69 103 175 0
4 1 2 40 90 94 201 0
4 2 2 56 69 104 169 0
5 1 2 42 89 95 201 0
5 2 2 62 69 108 165 0
6 1 2 45 90 97 199 0
6 2 2 68 72 112 163 0
7 1 2 49 89 100 199 0
7 2 2 69 77 112 164 0
8 1 2 53 89 103 199 0
8 2 2 75 73 122 167 0
9 1 2 58 88 109 198 0
9 2 2 79 71 127 169 0
10 1 2 64 89 114 197 0
10 2 2 82 71 130 169 0
11 1 2 68 90 117 196 0
11 2 2 86 71 133 169 0
12 1 2 70 90 120 196 0
12 2 2 85 72 134 176 0
13 1 2 73 89 123 196 0
13 2 2 83 71 137 186 0
14 2 2 84 71 138 188 0
15 2 2 88 71 142 187 0
16 1 2 82 89 133 197 0
16 2 2 95 71 146 184 0
17 1 2 85 89 134 197 0
17 2 2 98 74 147 183 0
18 1 2 87 85 135 192 0
18 2 2 108 70 156 177 0
19 1 2 91 83 138 189 0
19 2 2 113 70 161 174 0
20 1 2 94 87 139 192 0
20 2 2 118 70 163 169 0
21 1 2 100 87 144 188 0
21 2 2 121 70 166 169 0
22 1 2 103 89 146 193 0
22 2 2 122 69 169 174 0
23 1 2 106 89 149 193 0
23 2 2 121 70 171 182 0
24 2 2 122 70 173 187 0
25 2 2 123 74 173 189 0
26 2 2 124 75 175 190 0
27 1 2 143 73 185 170 0
27 2 2 127 78 176 190 0
28 1 2 148 71 190 170 0
28 2 2 127 80 176 191 0
29 1 2 154 71 195 168 0
29 2 2 128 81 177 191 0
30 1 2 158 71 198 166 0
30 2 2 130 81 177 191 0
31 1 2 160 70 200 166 0
31 2 2 133 80 179 190 0
32 1 2 161 69 202 168 0
32 2 2 137 81 181 189 0
33 1 2 159 69 202 174 0
33 2 2 139 81 183 191 0
34 1 2 165 68 205 168 0
34 2 2 145 80 190 191 0
35 1 2 169 67 209 167 0
35 2 2 156 75 202 190 0
36 2 2 161 73 208 190 0
37 1 2 180 67 221 171 0
37 2 2 162 76 209 191 0
38 1 2 184 67 226 170 0
38 2 2 164 78 210 191 0
39 1 2 189 68 231 169 0
39 2 2 167 80 213 191 0
40 1 2 192 67 234 168 0
40 2 2 169 80 217 193 0
41 1 2 194 68 238 171 0
41 2 2 170 84 218 197 0
42 1 2 197 70 241 173 0
42 2 2 176 80 224 194 0
43 1 2 198 72 243 177 0
43 2 2 181 80 226 190 0
44 1 2 199 72 244 177 0
44 2 2 184 82 227 187 0
45 1 2 200 72 244 178 0
45 2 2 186 85 230 195 0
46 1 2 208 68 251 172 0
46 2 2 194 78 239 192 0
47 1 2 213 66 257 175 0
47 2 2 197 78 241 191 0
48 1 2 218 67 261 174 0
48 2 2 201 81 245 191 0
49 1 2 221 66 265 175 0
49 2 2 204 80 250 193 0
50 1 2 225 66 270 175 0
50 2 2 211 86 257 195 0
51 1 2 227 69 273 179 0
51 2 2 213 85 262 198 0
52 1 2 228 71 276 184 0
52 2 2 217 86 266 198 0
53 1 2 224 74 274 189 0
53 2 2 234 71 277 171 0
54 1 2 223 73 275 192 0
54 2 2 238 67 279 165 0
55 1 2 225 72 277 192 0
55 2 2 244 66 284 164 0
56 1 2 228 72 277 192 0
56 2 2 247 63 288 165 0
57 1 2 232 74 280 193 0
57 2 2 250 63 290 165 0
58 1 2 236 75 282 192 0
58 2 2 250 64 293 177 0
59 1 2 238 76 284 193 0
59 2 2 251 65 296 185 0
60 2 2 254 67 300 187 0
61 2 2 259 69 305 188 0
62 2 2 261 71 308 188 0
63 2 2 262 72 312 190 0
64 2 2 264 72 315 191 0
65 2 2 264 70 318 192 0
66 2 2 271 67 325 189 0
67 2 2 275 67 329 187 0
68 2 2 279 67 332 188 0
69 2 2 283 67 335 188 0
70 2 2 288 66 339 189 0
71 2 2 293 65 342 188 0
72 2 2 297 66 346 188 0
73 2 2 305 66 354 188 0
74 2 2 309 65 360 188 0
75 2 2 310 64 364 190 0
76 2 2 312 64 366 190 0
77 2 2 313 64 369 190 0
78 2 2 318 64 372 190 0
79 2 2 322 64 376 190 0
80 2 2 327 63 379 188 0
81 2 2 332 63 381 188 0
82 2 2 338 63 387 188 0
83 2 2 345 65 391 185 0
84 2 2 351 65 399 187 0
85 2 2 355 65 403 187 0
86 2 2 357 65 408 187 0
87 2 2 359 64 412 188 0
88 2 2 360 64 415 189 0
89 2 2 362 64 418 190 0
90 2 2 364 65 419 189 0
91 2 2 369 64 423 187 0
92 2 2 374 63 427 187 0
93 2 2 380 63 430 187 0
94 2 2 386 65 435 186 0
95 2 2 392 67 439 185 0
96 2 2 397 70 445 188 0
97 2 2 404 72 452 187 0
98 2 2 407 74 455 187 0
99 2 2 409 77 457 186 0
100 2 2 410 68 463 186 0
101 2 2 412 66 466 188 0
102 2 2 415 70 468 187 0
103 2 2 420 72 472 186 0
104 2 2 421 66 474 186 0
105 2 2 423 62 475 182 0
106 2 2 428 63 475 173 0
107 2 2 429 63 475 173 0
108 2 2 440 72 485 180 0
109 2 2 446 70 494 184 0
109 4 2 436 63 470 168 0
110 2 2 452 69 501 185 0
110 4 2 434 62 468 166 0
111 2 2 455 64 507 184 0
112 2 2 456 62 510 185 0
113 2 2 456 60 511 185 0
114 2 2 458 62 512 183 0
115 2 2 461 62 514 182 0
116 2 2 473 69 523 184 0
116 4 2 470 60 503 163 0
117 2 2 484 75 532 184 0
117 4 2 472 61 504 160 0
118 2 2 485 70 536 184 0
118 4 2 473 61 506 160 0
119 2 2 489 68 542 185 0
119 4 2 474 61 507 161 0
120 2 2 486 69 538 181 0
120 4 2 477 60 510 160 0
121 2 2 488 69 539 179 0
121 4 2 481 60 516 164 0
122 2 2 499 71 551 182 0
122 4 2 490 60 529 175 0
123 2 2 504 71 556 182 0
123 4 2 494 62 534 178 0
124 2 2 505 69 558 182 0
124 4 2 497 61 538 180 0
125 2 2 506 70 561 182 0
126 2 2 509 68 564 184 0
126 4 2 506 57 539 157 0
127 2 2 513 68 568 184 0
127 4 2 507 59 541 159 0
128 2 2 517 67 571 182 0
128 4 2 508 60 541 159 0
129 2 2 522 67 574 178 0
129 4 2 512 60 547 162 0
130 2 2 524 65 575 175 0
130 4 2 514 62 549 161 0
131 2 2 529 69 580 180 0
131 4 2 518 62 557 169 0
132 2 2 536 67 588 181 0
132 4 2 518 62 557 170 0
133 2 2 541 67 592 179 0
133 4 2 521 62 559 168 0
134 2 2 544 68 594 178 0
134 4 2 526 62 564 170 0
135 2 2 547 66 598 178 0
135 4 2 532 60 570 171 0
136 2 2 549 64 602 179 0
136 4 2 536 58 574 171 0
137 2 2 550 63 604 178 0
137 4 2 539 58 578 172 0
138 2 2 559 69 609 178 0
138 4 2 544 60 583 176 0
139 2 2 568 67 618 179 0
139 4 2 546 60 585 176 0
140 2 2 573 67 622 179 0
140 4 2 549 60 586 173 0
141 2 2 577 68 625 178 0
141 4 2 550 59 586 167 0
142 2 2 578 67 627 178 0
142 4 2 552 59 587 163 0
143 2 2 581 67 629 177 0
143 4 2 554 59 590 164 0
144 2 2 584 67 632 176 0
144 4 2 558 59 594 164 0
145 2 2 586 67 634 177 0
145 4 2 563 59 597 160 0
146 2 2 587 67 636 179 0
146 4 2 568 58 601 153 0
147 2 2 588 66 638 179 0
147 4 2 573 57 604 149 0
148 2 2 589 66 639 179 0
148 4 2 578 54 610 150 0
149 2 2 590 65 641 180 0
149 4 2 581 54 613 151 0
150 2 2 591 66 643 180 0
150 4 2 583 56 615 151 0
151 2 2 593 65 645 178 0
151 4 2 585 56 617 150 0
152 2 2 601 66 653 176 0
152 4 2 586 56 618 149 0
153 2 2 607 66 657 174 0
153 4 2 588 56 620 149 0
154 2 2 611 66 661 174 0
154 4 2 589 56 623 150 0
155 2 2 615 66 664 174 0
155 4 2 590 56 625 150 0
156 2 2 618 66 666 175 0
156 4 2 594 56 630 150 0
157 2 2 619 66 667 176 0
157 4 2 599 56 635 148 0
158 2 2 624 66 669 172 0
158 4 2 602 56 638 148 0
159 2 2 625 65 672 174 0
159 4 2 609 54 645 149 0
160 2 2 627 64 674 174 0
160 4 2 613 54 648 149 0
161 2 2 628 63 677 173 0
161 4 2 615 54 651 151 0
162 2 2 634 65 683 173 0
162 4 2 617 55 651 150 0
163 2 2 637 65 684 171 0
163 4 2 617 56 653 151 0
164 2 2 639 64 687 173 0
164 4 2 618 56 654 151 0
165 2 2 641 64 689 173 0
165 4 2 620 55 656 151 0
166 2 2 646 65 692 173 0
166 4 2 624 55 661 151 0
167 2 2 651 67 695 171 0
167 4 2 628 55 665 150 0
168 2 2 656 67 700 171 0
168 4 2 631 55 667 148 0
169 2 2 660 65 704 170 0
169 4 2 636 54 671 145 0
170 2 2 663 64 708 170 0
170 4 2 642 53 677 144 0
171 2 2 666 66 710 169 0
171 4 2 645 53 680 146 0
172 2 2 670 65 715 169 0
172 4 2 648 53 682 145 0
172 6 2 2 52 33 137 0
173 2 2 672 64 719 171 0
173 4 2 649 53 683 145 0
173 6 2 4 51 35 137 0
174 2 2 674 65 722 171 0
174 4 2 650 54 685 145 0
174 6 2 3 50 36 138 0
175 2 2 676 64 725 169 0
175 4 2 651 55 686 146 0
175 6 2 3 50 35 138 0
176 2 2 678 64 726 168 0
176 4 2 652 55 688 146 0
176 6 2 3 48 36 138 0
177 2 2 681 64 729 166 0
177 4 2 654 55 690 145 0
177 6 2 3 47 37 137 0
178 2 2 683 63 732 165 0
178 4 2 657 54 694 146 0
178 6 2 -2 15 43 137 0
179 2 2 685 62 734 163 0
179 4 2 660 54 698 146 0
179 6 2 0 33 40 137 0
180 2 2 690 62 738 164 0
180 4 2 665 55 702 145 0
180 6 2 3 42 40 135 0
181 2 2 692 61 740 165 0
181 4 2 668 55 705 144 0
181 6 2 8 48 43 133 0
182 2 2 695 63 741 165 0
182 4 2 674 53 712 144 0
182 6 2 15 47 50 134 0
183 2 2 699 64 742 162 0
183 4 2 679 52 716 144 0
183 6 2 20 48 57 134 0
184 2 2 700 64 742 161 0
184 4 2 681 52 718 144 0
184 6 2 23 47 61 135 0
185 2 2 704 63 747 161 0
185 4 2 683 54 720 146 0
185 6 2 26 47 65 134 0
186 2 2 706 61 750 162 0
186 4 2 683 54 721 148 0
186 6 2 27 47 67 134 0
187 2 2 707 61 752 162 0
187 4 2 684 54 722 148 0
187 6 2 27 47 68 135 0
188 2 2 709 61 753 162 0
188 4 2 685 54 725 149 0
188 6 2 28 46 70 135 0
189 2 2 712 61 757 163 0
189 4 2 688 54 728 149 0
189 6 2 29 45 71 135 0
190 2 2 721 61 764 162 0
190 4 2 693 52 732 146 0
190 6 2 30 45 72 135 0
191 2 2 724 62 766 161 0
191 4 2 696 52 735 144 0
191 6 2 32 46 73 134 0
192 2 2 725 60 768 161 0
192 4 2 700 52 738 143 0
192 6 2 34 45 74 134 0
193 2 2 728 60 772 161 0
193 4 2 702 52 740 144 0
193 6 2 37 43 77 132 0
194 2 2 734 59 779 161 0
194 4 2 707 52 744 144 0
194 6 2 40 42 79 132 0
195 2 2 739 59 785 161 0
195 4 2 711 52 747 142 0
195 6 2 45 42 85 136 0
196 2 2 741 59 788 161 0
196 4 2 711 52 748 142 0
196 6 2 49 43 89 136 0
197 2 2 742 60 790 161 0
197 4 2 712 53 749 143 0
197 6 2 53 45 94 136 0
198 2 2 743 58 789 154 0
198 4 2 714 55 751 142 0
198 6 2 56 44 98 135 0
199 2 2 742 57 789 153 0
199 4 2 716 55 754 142 0
199 6 2 58 46 100 134 0
200 2 2 743 59 792 158 0
200 4 2 716 55 756 143 0
200 6 2 59 47 100 133 0
201 2 2 747 58 795 152 0
201 4 2 719 54 760 143 0
201 6 2 60 47 102 133 0
202 2 2 752 58 799 149 0
202 4 2 723 54 764 143 0
202 6 2 62 47 104 133 0
203 2 2 754 56 802 148 0
203 4 2 728 54 768 142 0
203 6 2 63 46 105 133 0
204 2 2 756 55 804 147 0
204 4 2 731 52 771 142 0
204 6 2 64 44 106 133 0
205 2 2 755 54 802 146 0
205 4 2 737 51 778 143 0
205 6 2 67 42 108 132 0
206 2 2 755 55 802 147 0
206 4 2 740 51 780 143 0
206 6 2 69 42 110 131 0
207 2 2 757 57 806 154 0
207 4 2 749 55 788 144 0
207 6 2 71 42 110 130 0
208 2 2 760 55 807 151 0
208 4 2 748 55 787 144 0
208 6 2 74 42 113 131 0
209 2 2 764 55 809 149 0
209 4 2 746 54 786 145 0
209 6 2 81 42 120 131 0
210 2 2 770 55 813 148 0
210 4 2 746 54 786 145 0
210 6 2 87 43 127 132 0
211 2 2 773 54 815 148 0
211 4 2 746 53 786 145 0
211 6 2 91 43 132 132 0
