Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 198 80 248 163 0
3 1 2 201 83 249 163 0
4 1 2 207 84 255 163 0
5 1 2 210 82 258 162 0
6 1 2 214 80 260 159 0
7 1 2 215 76 264 160 0
8 1 2 218 74 266 159 0
9 1 2 225 72 275 162 0
10 1 2 229 72 277 161 0
11 1 2 234 74 281 161 0
12 1 2 237 74 285 161 0
13 1 2 240 73 288 161 0
14 1 2 243 77 290 161 0
15 1 2 245 72 294 162 0
16 1 2 248 70 296 160 0
17 1 2 251 70 296 159 0
18 1 2 255 69 299 159 0
19 1 2 261 68 304 159 0
20 1 2 266 68 307 158 0
21 1 2 270 69 310 158 0
22 1 2 275 68 317 159 0
23 1 2 278 67 321 159 0
24 1 2 280 68 323 158 0
25 1 2 281 68 325 159 0
26 1 2 283 68 327 159 0
27 1 2 286 68 329 160 0
28 1 2 288 67 330 159 0
29 1 2 294 65 335 159 0
30 1 2 299 65 339 159 0
31 1 2 304 66 342 158 0
32 1 2 307 67 344 158 0
33 1 2 314 67 351 158 0
34 1 2 317 68 354 158 0
35 1 2 318 68 357 158 0
36 1 2 319 68 359 158 0
37 1 2 321 68 361 158 0
38 1 2 327 67 367 156 0
39 1 2 331 67 370 156 0
39 2 2 4 140 38 248 0
40 1 2 335 67 373 157 0
40 2 2 7 142 41 249 0
41 1 2 338 66 375 157 0
41 2 2 7 140 43 250 0
42 1 2 341 66 376 156 0
42 2 2 7 139 44 249 0
43 1 2 346 66 382 157 0
43 2 2 6 139 43 247 0
44 1 2 349 66 385 157 0
44 2 2 8 138 45 246 0
45 1 2 352 66 389 157 0
45 2 2 10 137 47 244 0
46 1 2 354 67 392 157 0
46 2 2 14 135 52 243 0
47 1 2 354 67 393 157 0
47 2 2 17 133 56 245 0
48 1 2 356 67 396 158 0
48 2 2 21 132 61 246 0
49 1 2 358 67 398 157 0
49 2 2 26 133 67 247 0
50 1 2 362 66 402 157 0
50 2 2 31 134 73 247 0
51 1 2 366 65 405 157 0
51 2 2 35 134 78 246 0
52 1 2 371 65 408 157 0
52 2 2 38 134 82 245 0
53 1 2 378 66 413 157 0
53 2 2 39 134 86 246 0
54 1 2 383 66 417 155 0
54 2 2 44 134 90 245 0
55 1 2 386 68 420 155 0
55 2 2 47 134 93 244 0
56 1 2 387 68 423 155 0
56 2 2 49 134 96 245 0
57 1 2 389 68 425 155 0
57 2 2 53 133 98 243 0
58 1 2 391 68 429 156 0
58 2 2 57 133 101 240 0
59 1 2 394 68 433 155 0
59 2 2 61 131 105 240 0
60 1 2 396 67 436 155 0
60 2 2 64 130 108 240 0
61 1 2 399 67 439 155 0
61 2 2 69 130 113 239 0
62 1 2 402 66 441 156 0
62 2 2 77 130 122 239 0
63 1 2 405 65 443 156 0
63 2 2 82 130 128 239 0
64 1 2 411 65 447 157 0
64 2 2 85 129 133 239 0
65 1 2 415 64 450 156 0
65 2 2 87 130 136 239 0
