Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 356 116 373 173 0
2 2 2 374 116 392 174 0
3 1 2 356 117 372 172 0
3 2 2 374 117 391 173 0
4 1 2 355 118 371 172 0
4 2 2 373 118 391 172 0
5 1 2 354 118 371 171 0
5 2 2 372 118 390 173 0
6 1 2 352 118 368 170 0
6 2 2 371 118 389 173 0
7 1 2 351 118 367 170 0
7 2 2 371 118 389 173 0
8 1 2 350 117 366 170 0
8 2 2 371 118 389 173 0
9 1 2 350 117 366 171 0
9 2 2 367 117 386 174 0
10 1 2 350 117 366 171 0
10 2 2 365 117 384 174 0
11 1 2 349 117 366 173 0
11 2 2 364 117 383 175 0
12 1 2 348 116 365 174 0
12 2 2 363 117 382 175 0
13 1 2 348 116 365 175 0
13 2 2 363 117 382 177 0
14 1 2 346 116 364 175 0
14 2 2 362 117 382 177 0
15 1 2 346 116 363 175 0
15 2 2 361 117 381 178 0
16 1 2 345 118 362 175 0
16 2 2 361 117 381 178 0
17 1 2 344 118 362 175 0
17 2 2 361 118 381 178 0
18 1 2 344 118 361 175 0
18 2 2 361 118 380 177 0
19 1 2 343 118 360 175 0
19 2 2 360 117 379 177 0
20 1 2 342 119 359 175 0
20 2 2 360 117 379 177 0
21 1 2 341 119 358 174 0
21 2 2 359 117 379 177 0
22 1 2 340 120 358 176 0
22 2 2 358 116 378 178 0
23 1 2 339 120 357 176 0
23 2 2 358 116 378 178 0
24 1 2 339 120 356 176 0
24 2 2 358 115 378 178 0
25 1 2 339 121 356 176 0
25 2 2 357 115 377 178 0
26 1 2 338 122 356 176 0
26 2 2 356 115 376 178 0
27 1 2 338 121 356 176 0
27 2 2 356 116 376 178 0
28 1 2 335 122 352 176 0
28 2 2 355 116 375 178 0
29 1 2 333 122 351 177 0
29 2 2 355 116 375 179 0
30 1 2 333 122 351 177 0
30 2 2 354 116 375 179 0
31 1 2 332 121 349 177 0
31 2 2 354 117 374 179 0
32 1 2 331 120 349 177 0
32 2 2 353 116 374 180 0
33 1 2 331 119 349 176 0
33 2 2 353 116 374 180 0
34 1 2 331 120 348 176 0
34 2 2 352 116 374 180 0
35 1 2 330 120 348 177 0
35 2 2 350 117 371 180 0
36 1 2 330 120 347 178 0
36 2 2 349 117 370 181 0
37 1 2 329 120 347 178 0
37 2 2 348 117 369 181 0
38 1 2 327 120 346 179 0
38 2 2 348 117 368 182 0
39 1 2 327 121 346 180 0
39 2 2 347 116 368 182 0
40 1 2 326 122 344 179 0
40 2 2 347 116 368 183 0
41 1 2 325 122 344 179 0
41 2 2 347 116 368 183 0
42 1 2 324 123 343 180 0
42 2 2 346 116 367 184 0
43 1 2 323 123 342 180 0
43 2 2 347 116 367 184 0
44 1 2 322 123 342 180 0
44 2 2 346 116 367 184 0
45 1 2 321 123 340 179 0
45 2 2 347 116 367 184 0
46 1 2 321 124 339 179 0
46 2 2 347 116 367 185 0
47 1 2 320 124 339 179 0
47 2 2 346 117 366 185 0
48 1 2 317 123 336 180 0
48 2 2 346 117 366 185 0
49 1 2 316 122 335 180 0
49 2 2 346 118 366 185 0
50 1 2 314 122 335 182 0
50 2 2 346 118 365 186 0
51 1 2 314 122 334 183 0
51 2 2 345 118 365 186 0
