Frame_Number Person_ID State BB_tl_0 BB_tl_1 BB_br_0 BB_br_1 anomaly
2 1 2 610 94 662 229 0
2 2 2 477 80 534 209 0
2 3 2 365 74 415 193 0
2 4 2 531 85 578 216 0
2 5 2 781 61 807 134 0
2 6 2 804 43 825 112 0
3 1 2 613 94 665 227 0
3 2 2 478 79 536 208 0
3 3 2 373 72 424 192 0
3 4 2 537 85 584 215 0
3 5 2 782 61 808 133 0
3 6 2 805 44 826 111 0
4 1 2 617 93 668 225 0
4 2 2 482 78 540 207 0
4 3 2 379 70 431 194 0
4 4 2 541 83 587 213 0
4 5 2 783 60 809 132 0
4 6 2 806 45 826 111 0
5 1 2 619 93 670 224 0
5 2 2 488 76 544 201 0
5 3 2 384 70 435 195 0
5 4 2 543 82 589 211 0
5 5 2 784 59 811 132 0
5 6 2 808 45 828 110 0
6 1 2 624 92 675 223 0
6 2 2 493 75 547 196 0
6 3 2 391 70 439 192 0
6 4 2 547 82 591 206 0
6 5 2 784 58 812 131 0
6 6 2 808 46 828 110 0
7 1 2 628 91 678 221 0
7 2 2 493 73 549 198 0
7 3 2 395 70 442 189 0
7 4 2 548 82 593 208 0
7 5 2 784 57 812 131 0
7 6 2 809 46 829 110 0
8 1 2 630 90 680 221 0
8 2 2 495 73 550 199 0
8 3 2 398 70 444 188 0
8 4 2 551 81 596 208 0
8 5 2 788 57 813 123 0
9 1 2 634 89 684 221 0
9 2 2 496 74 551 199 0
9 3 2 401 70 447 187 0
9 4 2 554 81 598 206 0
9 5 2 788 61 813 125 0
10 1 2 636 89 686 220 0
10 2 2 497 73 550 198 0
10 3 2 406 69 453 186 0
10 4 2 556 81 599 205 0
10 5 2 789 61 814 127 0
11 1 2 637 90 686 220 0
11 2 2 497 73 549 198 0
11 3 2 411 69 458 186 0
11 4 2 557 81 602 206 0
11 5 2 789 62 814 127 0
12 1 2 639 90 688 221 0
12 2 2 502 74 553 197 0
12 3 2 414 70 462 186 0
12 4 2 560 82 604 205 0
12 5 2 790 63 815 127 0
13 1 2 639 91 689 222 0
13 2 2 504 74 556 197 0
13 3 2 416 71 465 186 0
13 4 2 561 84 604 203 0
13 5 2 791 62 816 128 0
14 1 2 641 91 690 222 0
14 2 2 508 76 558 196 0
14 3 2 417 71 465 186 0
14 4 2 562 85 606 202 0
14 5 2 794 61 820 129 0
15 1 2 641 91 691 221 0
15 2 2 509 76 560 196 0
15 3 2 419 71 468 186 0
15 4 2 563 85 608 203 0
15 5 2 796 61 821 128 0
16 1 2 642 91 692 219 0
16 2 2 511 76 562 195 0
16 3 2 423 70 471 186 0
16 4 2 566 87 610 200 0
16 5 2 796 61 822 129 0
17 1 2 644 90 694 216 0
17 2 2 512 76 563 196 0
17 3 2 428 69 475 184 0
17 4 2 571 84 617 201 0
17 5 2 798 61 823 128 0
18 1 2 648 89 696 212 0
18 2 2 515 75 566 195 0
18 3 2 437 67 483 185 0
18 4 2 575 82 622 203 0
18 5 2 799 62 824 128 0
19 1 2 650 89 697 209 0
19 2 2 521 75 570 193 0
19 3 2 442 66 488 186 0
19 4 2 579 77 626 200 0
19 5 2 800 62 825 128 0
20 1 2 652 86 698 207 0
20 2 2 524 74 572 191 0
20 3 2 445 65 490 186 0
20 4 2 582 74 630 200 0
20 5 2 800 52 829 126 0
21 1 2 655 84 702 207 0
21 2 2 526 72 575 192 0
21 3 2 448 67 492 185 0
21 4 2 586 73 633 198 0
21 5 2 801 57 829 126 0
22 1 2 657 84 703 207 0
22 2 2 534 71 583 191 0
22 3 2 451 68 494 184 0
22 4 2 589 74 635 197 0
22 5 2 803 59 830 128 0
23 1 2 658 84 704 206 0
23 2 2 538 70 587 191 0
23 3 2 453 68 497 184 0
23 4 2 592 75 636 194 0
23 5 2 804 59 831 128 0
24 1 2 659 85 704 206 0
24 2 2 545 71 593 190 0
24 3 2 456 65 501 184 0
24 4 2 594 75 638 195 0
24 5 2 805 58 832 128 0
25 1 2 661 86 706 207 0
25 2 2 549 71 597 189 0
25 3 2 460 65 504 181 0
25 4 2 596 76 640 195 0
25 5 2 809 52 837 126 0
26 1 2 662 87 707 206 0
26 2 2 551 72 600 189 0
26 3 2 464 64 507 177 0
26 4 2 598 77 641 194 0
26 5 2 810 49 839 125 0
27 1 2 663 87 708 205 0
27 2 2 553 73 601 188 0
27 3 2 473 64 515 178 0
27 4 2 600 77 643 192 0
27 5 2 811 48 840 125 0
28 1 2 665 87 708 203 0
28 2 2 556 73 604 187 0
28 3 2 478 62 520 178 0
28 4 2 604 76 647 193 0
28 5 2 812 48 840 124 0
29 1 2 666 88 709 200 0
29 2 2 557 72 606 188 0
29 3 2 483 62 523 175 0
29 4 2 607 75 650 194 0
29 5 2 812 49 840 124 0
30 1 2 670 88 713 200 0
30 2 2 560 72 609 185 0
30 3 2 487 63 526 175 0
30 4 2 609 74 652 193 0
30 5 2 813 49 839 123 0
31 1 2 673 88 715 199 0
31 2 2 561 71 610 185 0
31 3 2 489 63 528 174 0
31 4 2 612 73 654 190 0
31 5 2 814 50 839 120 0
32 1 2 675 86 718 200 0
32 2 2 563 70 613 185 0
32 3 2 493 64 532 172 0
32 4 2 614 72 655 189 0
32 5 2 815 50 840 120 0
33 1 2 677 82 720 196 0
33 2 2 565 70 613 182 0
33 3 2 494 64 535 171 0
33 4 2 616 72 657 189 0
33 5 2 816 51 840 119 0
34 1 2 679 80 722 194 0
34 2 2 566 68 614 180 0
34 3 2 496 65 537 170 0
34 4 2 617 73 658 189 0
34 5 2 817 51 840 118 0
35 1 2 681 79 723 193 0
35 2 2 570 68 617 180 0
35 3 2 497 65 540 170 0
35 4 2 618 74 659 188 0
35 5 2 817 49 841 120 0
36 1 2 682 78 724 193 0
36 2 2 572 69 618 180 0
36 3 2 499 65 542 169 0
36 4 2 619 75 659 186 0
36 5 2 817 49 840 118 0
37 1 2 683 78 725 194 0
37 2 2 573 69 619 179 0
37 3 2 500 65 544 168 0
37 4 2 620 76 660 185 0
37 5 2 817 45 842 121 0
38 1 2 684 83 725 197 0
38 2 2 575 69 620 180 0
38 3 2 502 66 545 167 0
38 4 2 621 76 661 184 0
38 5 2 819 48 841 120 0
39 1 2 684 85 726 201 0
39 2 2 577 69 623 181 0
39 3 2 507 64 551 166 0
39 4 2 623 75 665 183 0
39 5 2 818 47 841 120 0
40 1 2 684 85 726 201 0
40 2 2 579 70 625 181 0
40 3 2 513 63 555 167 0
40 4 2 627 75 668 182 0
40 5 2 819 48 840 120 0
41 1 2 685 87 726 200 0
41 2 2 580 71 626 181 0
41 3 2 518 61 561 166 0
41 4 2 629 75 672 184 0
41 5 2 820 47 841 121 0
42 1 2 686 87 726 200 0
42 2 2 581 69 628 182 0
42 3 2 522 61 563 166 0
42 4 2 632 76 674 184 0
42 5 2 821 47 842 121 0
43 1 2 686 86 727 202 0
43 2 2 583 69 630 182 0
43 3 2 524 61 564 166 0
43 4 2 634 76 675 183 0
44 1 2 686 84 728 205 0
44 2 2 585 69 633 182 0
44 3 2 525 62 565 167 0
44 4 2 638 73 681 184 0
45 1 2 687 84 727 204 0
45 2 2 588 69 635 181 0
45 3 2 527 62 567 167 0
45 4 2 641 70 684 184 0
46 1 2 691 84 727 191 0
46 2 2 591 69 637 179 0
46 3 2 528 62 569 168 0
46 4 2 644 69 686 184 0
47 1 2 693 86 730 199 0
47 2 2 595 68 641 179 0
47 3 2 529 62 569 166 0
47 4 2 646 69 688 181 0
48 1 2 694 86 731 199 0
48 2 2 604 65 650 178 0
48 3 2 533 62 573 164 0
48 4 2 649 70 689 180 0
49 2 2 608 66 654 177 0
49 3 2 540 61 579 163 0
49 4 2 652 71 691 179 0
50 2 2 611 67 657 177 0
50 3 2 544 61 583 162 0
50 4 2 654 72 692 179 0
51 2 2 612 66 659 177 0
51 3 2 548 60 586 162 0
51 4 2 655 72 693 178 0
52 2 2 613 66 660 177 0
52 3 2 553 59 591 162 0
52 4 2 657 72 695 178 0
53 2 2 615 66 662 176 0
53 3 2 556 60 593 160 0
53 4 2 658 71 696 177 0
54 2 2 616 66 662 174 0
54 3 2 559 60 594 159 0
54 4 2 660 69 698 177 0
55 2 2 620 66 665 174 0
55 3 2 560 60 596 159 0
55 4 2 662 69 700 177 0
56 2 2 621 65 667 173 0
56 3 2 562 60 599 160 0
56 4 2 664 69 701 174 0
57 2 2 626 65 670 168 0
57 3 2 563 60 602 159 0
57 4 2 665 70 702 175 0
58 2 2 629 66 670 163 0
58 3 2 565 61 604 159 0
58 4 2 666 71 702 174 0
59 2 2 629 67 670 161 0
59 3 2 565 61 605 159 0
59 4 2 666 72 702 173 0
60 2 2 630 67 671 163 0
60 3 2 566 62 606 159 0
60 4 2 667 71 704 174 0
61 2 2 631 66 671 164 0
61 3 2 568 62 608 158 0
61 4 2 668 71 706 173 0
62 2 2 631 66 672 166 0
62 3 2 574 57 614 156 0
62 4 2 668 71 706 174 0
63 2 2 632 65 674 168 0
63 3 2 578 54 618 155 0
63 4 2 674 71 712 171 0
64 2 2 632 67 674 168 0
64 3 2 583 54 622 154 0
64 4 2 676 71 715 171 0
65 2 2 634 68 675 167 0
65 3 2 586 53 624 154 0
65 4 2 680 71 719 171 0
66 1 2 735 83 765 175 0
66 2 2 639 69 679 165 0
66 3 2 588 57 626 158 0
66 4 2 684 72 722 171 0
67 1 2 736 81 766 175 0
67 2 2 643 68 683 163 0
67 3 2 590 56 626 154 0
67 4 2 686 71 724 171 0
68 1 2 737 79 768 175 0
68 2 2 646 68 684 160 0
68 3 2 591 56 627 152 0
68 4 2 688 70 725 171 0
69 1 2 737 78 769 175 0
69 2 2 648 68 686 159 0
69 3 2 593 55 630 153 0
69 4 2 689 70 726 171 0
70 1 2 737 77 769 174 0
70 2 2 649 67 688 161 0
70 3 2 594 54 631 152 0
70 4 2 690 70 726 171 0
71 1 2 742 78 774 176 0
71 2 2 650 65 691 165 0
71 3 2 596 54 633 152 0
71 4 2 691 72 726 172 0
